,validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model_params/n_hidden,config/model_params/n_layers,config/model_params/n_latent,config/model_params/gene_likelihood,config/train_params/max_epochs,config/train_params/plan_kwargs/lr,logdir
64,7577.142578125,1728426772,,True,100,389046a1,2024-10-08_22-32-52,6.710292816162109,655.207483291626,12024,ip-12-0-0-75,12.0.0.75,655.207483291626,100,256,2,40,nb,100,0.005249056603644079,389046a1
65,7697.89111328125,1728426825,,True,8,9ea70b1d,2024-10-08_22-33-45,6.7022764682769775,52.65667009353638,12024,ip-12-0-0-75,12.0.0.75,52.65667009353638,8,256,2,40,nb,100,0.002257911470950607,9ea70b1d
66,7874.8115234375,1728426839,,True,2,6a55b64b,2024-10-08_22-33-59,6.419491767883301,13.753236293792725,12024,ip-12-0-0-75,12.0.0.75,13.753236293792725,2,256,2,40,nb,100,0.009499300953567652,6a55b64b
67,7783.37158203125,1728426866,,True,4,66b64392,2024-10-08_22-34-26,6.724891185760498,26.93282914161682,12024,ip-12-0-0-75,12.0.0.75,26.93282914161682,4,256,2,40,nb,100,0.00504722981807569,66b64392
68,7769.0869140625,1728426893,,True,4,a7ca7642,2024-10-08_22-34-53,6.67995810508728,26.97485089302063,12024,ip-12-0-0-75,12.0.0.75,26.97485089302063,4,256,2,40,nb,100,0.0032937683683686345,a7ca7642
69,7577.49560546875,1728427550,,True,100,d16ad5fc,2024-10-08_22-45-50,6.4873411655426025,656.8133533000946,12024,ip-12-0-0-75,12.0.0.75,656.8133533000946,100,256,2,40,nb,100,0.002604078730440008,d16ad5fc
70,7963.19921875,1728427563,,True,2,9731efca,2024-10-08_22-46-03,6.384775161743164,13.636745929718018,12024,ip-12-0-0-75,12.0.0.75,13.636745929718018,2,256,2,40,nb,100,0.0068128261240371635,9731efca
71,7913.1748046875,1728427577,,True,2,ed95af90,2024-10-08_22-46-17,6.531398296356201,13.941884994506836,12024,ip-12-0-0-75,12.0.0.75,13.941884994506836,2,256,2,40,nb,100,0.00378257537196423,ed95af90
72,7584.05517578125,1728428234,,True,100,7bdf1426,2024-10-08_22-57-14,6.683800458908081,656.6815702915192,12024,ip-12-0-0-75,12.0.0.75,656.6815702915192,100,256,2,40,nb,100,0.0017716655813852231,7bdf1426
73,7893.017578125,1728428249,,True,2,38113ff7,2024-10-08_22-57-29,7.085430383682251,14.94510293006897,12024,ip-12-0-0-75,12.0.0.75,14.94510293006897,2,256,3,40,nb,100,0.005482038093038882,38113ff7
74,8117.88427734375,1728428258,,True,1,ee98d1b9,2024-10-08_22-57-38,8.231080293655396,8.231080293655396,12024,ip-12-0-0-75,12.0.0.75,8.231080293655396,1,256,4,20,nb,100,0.004272246271420931,ee98d1b9
75,8268.6240234375,1728428265,,True,1,5bbf7c6e,2024-10-08_22-57-45,6.891705751419067,6.891705751419067,12024,ip-12-0-0-75,12.0.0.75,6.891705751419067,1,64,2,50,nb,100,0.0013505094224760285,5bbf7c6e
76,7769.751953125,1728428292,,True,4,ca4351c8,2024-10-08_22-58-12,6.618885517120361,26.918875455856323,12024,ip-12-0-0-75,12.0.0.75,26.918875455856323,4,256,2,40,nb,100,0.008444433752921551,ca4351c8
77,7882.47021484375,1728428305,,True,2,41f2c201,2024-10-08_22-58-25,6.698762893676758,13.74094271659851,12024,ip-12-0-0-75,12.0.0.75,13.74094271659851,2,256,2,40,nb,100,0.005980306937528206,41f2c201
78,7680.58154296875,1728428353,,True,8,ac1001f9,2024-10-08_22-59-13,5.968507528305054,47.424997091293335,12024,ip-12-0-0-75,12.0.0.75,47.424997091293335,8,256,1,10,nb,100,0.0025962169829062296,ac1001f9
79,7945.705078125,1728428368,,True,2,bc4d5614,2024-10-08_22-59-28,7.283753395080566,15.459078788757324,12024,ip-12-0-0-75,12.0.0.75,15.459078788757324,2,128,3,30,zinb,100,0.003450519638303241,bc4d5614
80,8109.84765625,1728428375,,True,1,acc7e1cf,2024-10-08_22-59-35,6.725906133651733,6.725906133651733,12024,ip-12-0-0-75,12.0.0.75,6.725906133651733,1,64,2,40,nb,100,0.002165491686956498,acc7e1cf
81,8113.35400390625,1728428384,,True,1,0dc947da,2024-10-08_22-59-44,8.471516847610474,8.471516847610474,12024,ip-12-0-0-75,12.0.0.75,8.471516847610474,1,256,4,20,nb,100,0.002827724212481445,0dc947da
82,7553.5185546875,1728429039,,True,100,929e0bbd,2024-10-08_23-10-39,6.442140102386475,654.8299398422241,12024,ip-12-0-0-75,12.0.0.75,654.8299398422241,100,256,2,40,nb,100,0.0015008686896048134,929e0bbd
83,8233.3408203125,1728429047,,True,1,263d49de,2024-10-08_23-10-47,8.454180479049683,8.454180479049683,12024,ip-12-0-0-75,12.0.0.75,8.454180479049683,1,256,2,50,zinb,100,0.0009392772522383899,263d49de
84,8278.583984375,1728429054,,True,1,370e9ed8,2024-10-08_23-10-54,6.684372663497925,6.684372663497925,12024,ip-12-0-0-75,12.0.0.75,6.684372663497925,1,256,1,40,nb,100,0.0006180806550549388,370e9ed8
85,8692.3837890625,1728429061,,True,1,d5a0c64b,2024-10-08_23-11-01,6.668960809707642,6.668960809707642,12024,ip-12-0-0-75,12.0.0.75,6.668960809707642,1,64,2,10,nb,100,0.000492909688364498,d5a0c64b
86,8305.26171875,1728429068,,True,1,c65418f1,2024-10-08_23-11-08,7.2165367603302,7.2165367603302,12024,ip-12-0-0-75,12.0.0.75,7.2165367603302,1,128,3,30,nb,100,0.0010632737433186427,c65418f1
87,8153.79150390625,1728429076,,True,1,fd86d837,2024-10-08_23-11-16,8.339984655380249,8.339984655380249,12024,ip-12-0-0-75,12.0.0.75,8.339984655380249,1,256,2,40,zinb,100,0.0013895168115845228,fd86d837
88,8343.3671875,1728429085,,True,1,cabfabc6,2024-10-08_23-11-25,8.440129041671753,8.440129041671753,12024,ip-12-0-0-75,12.0.0.75,8.440129041671753,1,256,4,40,nb,100,0.0007518905506830135,cabfabc6
89,8157.16796875,1728429092,,True,1,1d987171,2024-10-08_23-11-32,7.189294099807739,7.189294099807739,12024,ip-12-0-0-75,12.0.0.75,7.189294099807739,1,256,2,20,nb,100,0.0015258176649889596,1d987171
90,8151.87158203125,1728429099,,True,1,9fa9e4b0,2024-10-08_23-11-39,6.679042100906372,6.679042100906372,12024,ip-12-0-0-75,12.0.0.75,6.679042100906372,1,128,2,50,nb,100,0.0019155413824712433,9fa9e4b0
91,8685.3837890625,1728429105,,True,1,65eb8612,2024-10-08_23-11-45,6.334601879119873,6.334601879119873,12024,ip-12-0-0-75,12.0.0.75,6.334601879119873,1,64,1,40,nb,100,0.00032337930705334173,65eb8612
92,8179.10595703125,1728429113,,True,1,b793a9f3,2024-10-08_23-11-53,8.288765907287598,8.288765907287598,12024,ip-12-0-0-75,12.0.0.75,8.288765907287598,1,256,2,40,zinb,100,0.0011833303535488653,b793a9f3
93,8230.3994140625,1728429121,,True,1,52588f45,2024-10-08_23-12-01,7.649090528488159,7.649090528488159,12024,ip-12-0-0-75,12.0.0.75,7.649090528488159,1,256,3,10,nb,100,0.0009144363892811451,52588f45
94,8640.9111328125,1728429129,,True,1,8dab5e80,2024-10-08_23-12-09,8.275312423706055,8.275312423706055,12024,ip-12-0-0-75,12.0.0.75,8.275312423706055,1,256,4,30,nb,100,0.00021757871742749297,8dab5e80
95,8175.873046875,1728429137,,True,1,196fa222,2024-10-08_23-12-17,7.3447065353393555,7.3447065353393555,12024,ip-12-0-0-75,12.0.0.75,7.3447065353393555,1,256,2,40,nb,100,0.001293268996128318,196fa222
96,7583.12451171875,1728429805,,True,100,8b7db978,2024-10-08_23-23-25,6.792674779891968,668.0291812419891,12024,ip-12-0-0-75,12.0.0.75,668.0291812419891,100,128,2,40,zinb,100,0.001655500994441275,8b7db978
97,8305.353515625,1728429811,,True,1,ee7136d0,2024-10-08_23-23-31,6.071784257888794,6.071784257888794,12024,ip-12-0-0-75,12.0.0.75,6.071784257888794,1,64,1,20,nb,100,0.0010533414296864827,ee7136d0
98,8243.5078125,1728429818,,True,1,573fd470,2024-10-08_23-23-38,7.060609340667725,7.060609340667725,12024,ip-12-0-0-75,12.0.0.75,7.060609340667725,1,256,2,50,nb,100,0.0006419777528724761,573fd470
99,7938.84228515625,1728429832,,True,2,53e882db,2024-10-08_23-23-52,6.704881429672241,14.060709238052368,12024,ip-12-0-0-75,12.0.0.75,14.060709238052368,2,256,2,40,nb,100,0.0025188323618248205,53e882db
